gene_id,gene_name,rank_of_2000
ENSG00000229807.9,XIST,2
ENSG00000176728.7,TTTY14,12
ENSG00000233864.7,TTTY15,55
ENSG00000269993.1,AF003625.3,102
ENSG00000233070.1,ZFY-AS1,106
ENSG00000260802.1,LINC00890,133
ENSG00000238178.6,RP11-431J24.2,162
ENSG00000234449.2,RP11-706O15.3,179
ENSG00000223749.7,MIR503HG,189
ENSG00000203930.10,LINC00632,235
ENSG00000229967.1,RP11-366F6.2,259
ENSG00000273906.1,RP11-115H13.1,300
ENSG00000226179.5,LINC00685,309
ENSG00000205662.2,RP11-706O15.7,340
ENSG00000235385.1,GS1-600G8.5,448
ENSG00000261409.1,RP6-24A23.7,509
ENSG00000270069.1,MIR222HG,570
ENSG00000205664.10,RP11-706O15.1,650
ENSG00000258545.5,RHOXF1-AS1,815
ENSG00000260822.1,GS1-358P8.4,875
ENSG00000281508.1,CDR1-AS,917
ENSG00000270223.1,RP13-36G14.4,959
ENSG00000274536.4,RP6-159A1.4,1038
ENSG00000197180.2,CH17-340M24.3,1220
ENSG00000271430.1,RP3-368A4.5,1243
ENSG00000205663.5,RP11-706O15.5,1262
ENSG00000228343.1,RP11-1148L6.5,1320
ENSG00000269941.1,RP5-1172N10.4,1351
ENSG00000235703.5,LINC00894,1354
ENSG00000231651.1,DLG3-AS1,1387
ENSG00000281852.1,LINC00891,1392
ENSG00000260081.1,RP11-66N11.8,1552
ENSG00000261295.1,RP11-524D16__A.3,1598
ENSG00000271533.1,RP3-368A4.6,1740
ENSG00000236871.6,LINC00106,1743
ENSG00000232412.1,RP1-315G1.3,1744
ENSG00000236017.7,ASMTL-AS1,1761
ENSG00000241769.7,LINC00893,1792
ENSG00000260118.1,RP6-201G10.2,1852
ENSG00000269911.1,RP1-172N19.5,1859
ENSG00000270189.1,RP11-258C19.7,1892
ENSG00000230590.7,FTX,2000
