universe,model,pred,n
lncRNA,logreg,DLBC,2
lncRNA,logreg,HNSC,2
lncRNA,logreg,KIRC,2
lncRNA,logreg,LUAD,1
lncRNA,logreg,LUSC,1
lncRNA,logreg,SARC,12
lncRNA,logreg,UCS,3
lncRNA,logreg,UVM,3
lncRNA,mlp,DLBC,1
lncRNA,mlp,HNSC,5
lncRNA,mlp,LUAD,2
lncRNA,mlp,SARC,9
lncRNA,mlp,THYM,1
lncRNA,mlp,UCS,2
lncRNA,mlp,UVM,4
lncRNA,xgboost,BRCA,1
lncRNA,xgboost,DLBC,2
lncRNA,xgboost,LUAD,1
lncRNA,xgboost,LUSC,1
lncRNA,xgboost,SARC,26
lncRNA,xgboost,UCS,2
lncRNA,xgboost,UVM,3
protein_coding,logreg,BRCA,1
protein_coding,logreg,CHOL,2
protein_coding,logreg,DLBC,1
protein_coding,logreg,KIRC,3
protein_coding,logreg,LUAD,1
protein_coding,logreg,LUSC,1
protein_coding,logreg,SARC,22
protein_coding,logreg,UCS,2
protein_coding,logreg,UVM,3
protein_coding,mlp,DLBC,3
protein_coding,mlp,KIRC,4
protein_coding,mlp,LUAD,2
protein_coding,mlp,LUSC,1
protein_coding,mlp,SARC,14
protein_coding,mlp,UCS,2
protein_coding,mlp,UVM,3
protein_coding,xgboost,BLCA,1
protein_coding,xgboost,CESC,1
protein_coding,xgboost,DLBC,3
protein_coding,xgboost,LIHC,1
protein_coding,xgboost,LUAD,3
protein_coding,xgboost,SARC,26
protein_coding,xgboost,UCS,2
protein_coding,xgboost,UVM,3
