universe,k,fold,macro_f1
lncRNA,25,0,0.7514429725028771
lncRNA,25,1,0.747878616491078
lncRNA,25,2,0.743892078018682
lncRNA,25,3,0.763216746439969
lncRNA,25,4,0.7724521650095135
lncRNA,50,0,0.8470804718082472
lncRNA,50,1,0.8452229903531315
lncRNA,50,2,0.8591579535389365
lncRNA,50,3,0.8418067471674632
lncRNA,50,4,0.8716460043046631
lncRNA,100,0,0.917684321752789
lncRNA,100,1,0.8989169094446153
lncRNA,100,2,0.9055877284732098
lncRNA,100,3,0.8896255643099591
lncRNA,100,4,0.9197917681750131
lncRNA,250,0,0.9395414057624717
lncRNA,250,1,0.9164173460284528
lncRNA,250,2,0.9271355017844214
lncRNA,250,3,0.9265784753848284
lncRNA,250,4,0.9474914795775948
lncRNA,500,0,0.9624502670963558
lncRNA,500,1,0.929591939693724
lncRNA,500,2,0.9416271354518632
lncRNA,500,3,0.9452520655500684
lncRNA,500,4,0.9489192979850563
lncRNA,1000,0,0.9572157423624749
lncRNA,1000,1,0.934809677098496
lncRNA,1000,2,0.9301056508479114
lncRNA,1000,3,0.9456909522169078
lncRNA,1000,4,0.951701036092753
lncRNA,2000,0,0.952201831904496
lncRNA,2000,1,0.9252974321761767
lncRNA,2000,2,0.9296185915090058
lncRNA,2000,3,0.9399580843933537
lncRNA,2000,4,0.9438928688344764
lncRNA,5000,0,0.9468571250279976
lncRNA,5000,1,0.9261851989593162
lncRNA,5000,2,0.927430048754634
lncRNA,5000,3,0.9321558012082793
lncRNA,5000,4,0.9404922030669361
protein_coding,25,0,0.7340016879154547
protein_coding,25,1,0.7267789467396205
protein_coding,25,2,0.724353289509062
protein_coding,25,3,0.7391624118243584
protein_coding,25,4,0.7328277565755006
protein_coding,50,0,0.8662782840742573
protein_coding,50,1,0.8179676568632342
protein_coding,50,2,0.8289873171850608
protein_coding,50,3,0.8462482647177209
protein_coding,50,4,0.8464093011110168
protein_coding,100,0,0.8967478805721996
protein_coding,100,1,0.8593089736262198
protein_coding,100,2,0.8880185597760639
protein_coding,100,3,0.8822780096311941
protein_coding,100,4,0.8813496136487444
protein_coding,250,0,0.9071029874861563
protein_coding,250,1,0.8938151420324427
protein_coding,250,2,0.8934548717922092
protein_coding,250,3,0.9074711922684957
protein_coding,250,4,0.9224895255358518
protein_coding,500,0,0.9289766564888411
protein_coding,500,1,0.9189624824101615
protein_coding,500,2,0.9205316210999918
protein_coding,500,3,0.9225139591537065
protein_coding,500,4,0.930039566137858
protein_coding,1000,0,0.9464222629556092
protein_coding,1000,1,0.9218820844625518
protein_coding,1000,2,0.9272321402884318
protein_coding,1000,3,0.9392113841078624
protein_coding,1000,4,0.9392623177848296
protein_coding,2000,0,0.9480776233215248
protein_coding,2000,1,0.9182089013284704
protein_coding,2000,2,0.9251544220771353
protein_coding,2000,3,0.9417808132301453
protein_coding,2000,4,0.9497763496308673
protein_coding,5000,0,0.9508106985103434
protein_coding,5000,1,0.9215744304489282
protein_coding,5000,2,0.9259940407455518
protein_coding,5000,3,0.9466522268407412
protein_coding,5000,4,0.9505078908920773
