metric,value,ci_low,ci_high,universe,model
accuracy,0.96627408993576,0.9582441113490364,0.974304068522484,lncRNA,logreg
balanced_accuracy,0.9463241098386028,0.931215260175942,0.9610733758037198,lncRNA,logreg
macro_f1,0.945668606374722,0.9280313562768622,0.958903384440591,lncRNA,logreg
top3_accuracy,0.9962526766595288,0.9935760171306208,0.9983940042826552,lncRNA,logreg
log_loss,0.1007976830005645,0.0794245488941669,0.1237916493788361,lncRNA,logreg
ece,0.010742157163214,0.0082416507682704,0.0191216073615169,lncRNA,logreg
accuracy,0.9646680942184154,0.95610278372591,0.9732334047109208,lncRNA,mlp
balanced_accuracy,0.941721761013563,0.9282001858445954,0.9544450207668612,lncRNA,mlp
macro_f1,0.938797893112093,0.9217704853962372,0.9523091999230732,lncRNA,mlp
top3_accuracy,0.9962526766595288,0.9935626338329764,0.9983940042826552,lncRNA,mlp
log_loss,0.1601255685091018,0.1381161026656627,0.1823536422103643,lncRNA,mlp
ece,0.0508449158972284,0.0450310713394167,0.0589743801566116,lncRNA,mlp
accuracy,0.9630620985010708,0.9544967880085652,0.971627408993576,lncRNA,xgboost
balanced_accuracy,0.9385804454766776,0.924734878725741,0.9511522811310272,lncRNA,xgboost
macro_f1,0.93585025393666,0.9181075444921843,0.9492683448815064,lncRNA,xgboost
top3_accuracy,0.9967880085653104,0.9941113490364024,0.9989293361884368,lncRNA,xgboost
log_loss,0.1211563348770141,0.0972776239737868,0.1457621090114116,lncRNA,xgboost
ece,0.0076418942682109,0.0075041770119403,0.0181436359790618,lncRNA,xgboost
accuracy,0.9635974304068522,0.9550321199143468,0.9721761241970022,protein_coding,logreg
balanced_accuracy,0.9367796177021572,0.9188766226252748,0.9528784642949129,protein_coding,logreg
macro_f1,0.9354091827660724,0.914485370248014,0.9510431061545108,protein_coding,logreg
top3_accuracy,0.9951820128479656,0.9919700214132764,0.9978586723768736,protein_coding,logreg
log_loss,0.1077563092112541,0.0848643198609352,0.13256441578269,protein_coding,logreg
ece,0.0063524404161747,0.0057471400318264,0.0159078467493712,protein_coding,logreg
accuracy,0.9582441113490364,0.9486081370449678,0.9668094218415416,protein_coding,mlp
balanced_accuracy,0.9247273154702024,0.9090690624980672,0.9389570020989084,protein_coding,mlp
macro_f1,0.9215468487156172,0.9026237785876414,0.9345498498996284,protein_coding,mlp
top3_accuracy,0.9957173447537472,0.9930406852248392,0.9983940042826552,protein_coding,mlp
log_loss,0.1440865844488144,0.1243686493486166,0.1649934019893408,protein_coding,mlp
ece,0.0319134492259592,0.0301167900303111,0.0412436496749584,protein_coding,mlp
accuracy,0.9598501070663812,0.9502141327623126,0.968428800856531,protein_coding,xgboost
balanced_accuracy,0.9279860225157144,0.909838791213563,0.9444908658891432,protein_coding,xgboost
macro_f1,0.9262968095425794,0.9043789934315954,0.9418682440022784,protein_coding,xgboost
top3_accuracy,0.994646680942184,0.9914346895074948,0.9978586723768736,protein_coding,xgboost
log_loss,0.1297284811735153,0.1017596010118722,0.1612140338867903,protein_coding,xgboost
ece,0.0114085636873444,0.0094274521436406,0.0219144293617624,protein_coding,xgboost
