,lncRNA,protein_coding
ACC,0.9333333333333333,0.9333333333333333
BLCA,0.9559748427672956,0.9815950920245399
BRCA,0.9953917050691244,0.9907834101382489
CESC,0.9836065573770492,0.991869918699187
CHOL,0.8571428571428571,0.7692307692307693
COAD,0.8548387096774194,0.8548387096774194
DLBC,1.0,0.9
ESCA,0.8732394366197183,0.7878787878787878
GBM,0.9830508474576272,0.9830508474576272
HNSC,0.9716981132075472,0.985781990521327
KICH,0.9629629629629629,0.9629629629629629
KIRC,0.9615384615384616,0.9569377990430622
KIRP,0.9586776859504132,0.9586776859504132
LAML,1.0,0.9859154929577465
LGG,0.9951219512195122,0.9951219512195122
LIHC,0.9931972789115646,0.9864864864864865
LUAD,0.9611650485436893,0.9665071770334929
LUSC,0.9547738693467337,0.9641025641025641
MESO,0.9696969696969697,0.9696969696969697
OV,0.9940119760479041,0.9820359281437125
PAAD,0.9722222222222222,0.9714285714285714
PCPG,0.9855072463768116,0.9714285714285714
PRAD,1.0,1.0
READ,0.4827586206896552,0.42857142857142855
SARC,0.9714285714285714,0.9622641509433962
SKCM,0.9473684210526315,0.9743589743589743
STAD,0.9461077844311377,0.9230769230769231
TGCT,1.0,1.0
THCA,1.0,1.0
THYM,1.0,1.0
UCEC,0.9315068493150684,0.927536231884058
UCS,0.8695652173913043,0.8333333333333334
UVM,0.9411764705882353,0.9696969696969697
