gene_id,gene_name,gene_type,mean_abs_shap
ENSG00000237125.8,HAND2-AS1,antisense,2.3796566
ENSG00000267125.2,CTB-31O20.6,antisense,1.921438
ENSG00000229847.8,EMX2OS,antisense,1.5982895
ENSG00000256462.1,RP11-116G8.5,antisense,1.4702153
ENSG00000253563.2,NKX2-1-AS1,antisense,1.4225833
ENSG00000255474.1,RP11-234B24.2,lincRNA,1.3272792
ENSG00000269186.1,LINC01082,lincRNA,1.278094
ENSG00000251562.7,MALAT1,lincRNA,1.2391833
ENSG00000229719.3,AP001187.9,lincRNA,1.2375869
ENSG00000268592.3,RAET1E-AS1,antisense,1.235943
ENSG00000265401.1,RP11-138I1.4,antisense,1.1789653
ENSG00000258232.2,RP11-161H23.5,antisense,1.0736103
ENSG00000228262.8,LINC01320,lincRNA,1.0182883
ENSG00000183674.11,LINC00518,lincRNA,1.011374
ENSG00000251381.6,LINC00958,lincRNA,0.9486079
ENSG00000225431.1,AP001626.1,lincRNA,0.8648229
ENSG00000224924.6,LINC00320,lincRNA,0.8641805
ENSG00000225383.6,SFTA1P,lincRNA,0.8561579
ENSG00000267458.1,CTC-425F1.4,antisense,0.84672976
ENSG00000176840.11,MIR7-3HG,lincRNA,0.8369236
ENSG00000261012.2,RP11-116D2.1,lincRNA,0.8317294
ENSG00000268388.5,FENDRR,lincRNA,0.82972366
ENSG00000183242.11,WT1-AS,antisense,0.8295184
ENSG00000262223.6,RP11-1055B8.3,lincRNA,0.80947626
ENSG00000276888.1,RP11-244H18.1,antisense,0.7923556
ENSG00000259663.2,CTD-2314G24.2,antisense,0.7884307
ENSG00000226812.2,RP5-881L22.5,antisense,0.7693258
ENSG00000264577.1,AC010761.8,antisense,0.74959916
ENSG00000243350.1,RP11-379F12.3,lincRNA,0.72266686
ENSG00000259974.2,LINC00261,lincRNA,0.7029926
ENSG00000269888.1,RP11-3P17.5,lincRNA,0.6983838
ENSG00000203499.10,FAM83H-AS1,lincRNA,0.6871838
ENSG00000275563.1,CTD-2311B13.5,antisense,0.6846788
ENSG00000261195.1,CTD-2380F24.1,antisense,0.68237054
ENSG00000274177.1,LLNLR-284B4.1,antisense,0.68039334
ENSG00000259353.1,RP11-30K9.5,antisense,0.6795089
ENSG00000235142.7,RP1-60O19.1,lincRNA,0.66515434
ENSG00000253552.7,HOXA-AS2,antisense,0.6486417
ENSG00000272440.1,RP11-379F4.6,lincRNA,0.644876
ENSG00000166917.8,MIR202HG,antisense,0.63507617
ENSG00000233101.10,HOXB-AS3,antisense,0.6234273
ENSG00000175772.10,LINC01106,lincRNA,0.61383945
ENSG00000249601.2,LINC01187,lincRNA,0.61354816
ENSG00000245526.8,LINC00461,lincRNA,0.6007508
ENSG00000259969.1,RP11-999E24.3,sense_overlapping,0.5899316
ENSG00000224137.1,AC079767.4,lincRNA,0.58329886
ENSG00000277749.1,RP11-60L3.6,antisense,0.57918656
ENSG00000276850.4,CH17-360D5.2,lincRNA,0.57604825
ENSG00000251164.1,HULC,lincRNA,0.570426
ENSG00000227869.1,RP11-807H17.1,lincRNA,0.56589335
ENSG00000266036.1,RP11-452I5.2,antisense,0.56529325
ENSG00000224911.1,AC015936.3,antisense,0.56355804
ENSG00000258414.1,RP11-356O9.1,lincRNA,0.5535455
ENSG00000240990.9,HOXA11-AS,antisense,0.5513245
ENSG00000279141.3,LINC01451,lincRNA,0.54873306
ENSG00000270547.5,LINC01235,lincRNA,0.54872614
ENSG00000186960.10,LINC01551,lincRNA,0.535248
ENSG00000226674.8,TEX41,lincRNA,0.50974566
ENSG00000259006.1,RP11-566K11.4,antisense,0.50295967
ENSG00000273796.1,LL21NC02-21A1.1,lincRNA,0.4980652
