cancer_type,rank,gene_id,gene_name,gene_type,mean_shap
ACC,1,ENSG00000166917.8,MIR202HG,antisense,1.5802567
ACC,2,ENSG00000230257.1,NFE4,antisense,0.7416626
ACC,3,ENSG00000240801.1,AC132217.4,3prime_overlapping_ncrna,0.355633
ACC,4,ENSG00000268203.1,CTD-2396E7.9,antisense,0.26560608
ACC,5,ENSG00000234614.1,AL450992.2,antisense,0.24206544
ACC,6,ENSG00000244239.1,AC007009.1,antisense,0.18050809
ACC,7,ENSG00000265254.1,CTD-2350C19.2,antisense,0.17695525
ACC,8,ENSG00000277749.1,RP11-60L3.6,antisense,0.13768484
ACC,9,ENSG00000260577.2,RP11-615I2.2,antisense,0.12880865
ACC,10,ENSG00000232229.5,LINC00865,lincRNA,0.123118095
BLCA,1,ENSG00000269186.1,LINC01082,lincRNA,1.1201771
BLCA,2,ENSG00000260912.1,RP11-363E7.4,sense_overlapping,0.4174166
BLCA,3,ENSG00000273335.1,RP11-61L19.2,lincRNA,0.31807333
BLCA,4,ENSG00000243350.1,RP11-379F12.3,lincRNA,0.31744817
BLCA,5,ENSG00000197308.8,GATA3-AS1,lincRNA,0.24317119
BLCA,6,ENSG00000254560.5,BBOX1-AS1,antisense,0.16705716
BLCA,7,ENSG00000259974.2,LINC00261,lincRNA,0.14160956
BLCA,8,ENSG00000231826.5,AC016735.2,lincRNA,0.13873851
BLCA,9,ENSG00000250041.2,CTD-2003C8.2,lincRNA,0.11795674
BLCA,10,ENSG00000238113.6,LINC01410,lincRNA,0.0773086
BRCA,1,ENSG00000224842.2,RP11-123K19.1,antisense,0.6856003
BRCA,2,ENSG00000204049.1,RP11-126H7.4,antisense,0.4223689
BRCA,3,ENSG00000234918.1,RP11-20F24.2,lincRNA,0.42076892
BRCA,4,ENSG00000235687.8,LINC00993,lincRNA,0.41874662
BRCA,5,ENSG00000228639.6,AC005152.3,lincRNA,0.37687498
BRCA,6,ENSG00000268388.5,FENDRR,lincRNA,0.37682927
BRCA,7,ENSG00000273388.1,RP11-401O9.4,antisense,0.34559315
BRCA,8,ENSG00000243350.1,RP11-379F12.3,lincRNA,0.30427775
BRCA,9,ENSG00000259725.1,CTD-3032H12.1,lincRNA,0.30133715
BRCA,10,ENSG00000261039.2,RP11-417E7.2,lincRNA,0.27620623
CESC,1,ENSG00000269210.2,RP11-173C1.1,antisense,0.5861422
CESC,2,ENSG00000249082.2,C5orf66-AS1,lincRNA,0.36779967
CESC,3,ENSG00000261824.6,LINC00662,lincRNA,0.34761384
CESC,4,ENSG00000240498.6,CDKN2B-AS1,antisense,0.34733734
CESC,5,ENSG00000270547.5,LINC01235,lincRNA,0.33984396
CESC,6,ENSG00000280206.1,CTB-193M12.5,lincRNA,0.20032507
CESC,7,ENSG00000236028.1,RP11-323C15.2,lincRNA,0.19975145
CESC,8,ENSG00000275632.1,RP5-967N21.11,lincRNA,0.13094845
CESC,9,ENSG00000243766.7,HOTTIP,antisense,0.10959528
CESC,10,ENSG00000269186.1,LINC01082,lincRNA,0.10609615
CHOL,1,ENSG00000273038.2,RP11-479G22.8,lincRNA,1.3948648
CHOL,2,ENSG00000226733.1,RP11-397G17.1,lincRNA,0.6815413
CHOL,3,ENSG00000261012.2,RP11-116D2.1,lincRNA,0.598302
CHOL,4,ENSG00000229719.3,AP001187.9,lincRNA,0.25486076
CHOL,5,ENSG00000235026.5,DPP10-AS1,antisense,0.24467544
CHOL,6,ENSG00000224739.2,AC016735.1,lincRNA,0.19488682
CHOL,7,ENSG00000249007.1,RP11-510N19.5,sense_intronic,0.19130588
CHOL,8,ENSG00000267125.2,CTB-31O20.6,antisense,0.1725367
CHOL,9,ENSG00000235142.7,RP1-60O19.1,lincRNA,0.1679839
CHOL,10,ENSG00000229380.1,AC147651.5,antisense,0.15417568
COAD,1,ENSG00000255474.1,RP11-234B24.2,lincRNA,0.819275
COAD,2,ENSG00000272763.1,RP11-357H14.17,lincRNA,0.6245525
COAD,3,ENSG00000261123.1,RP11-304L19.3,sense_intronic,0.4585106
COAD,4,ENSG00000259933.6,RP11-304L19.1,sense_overlapping,0.37844548
COAD,5,ENSG00000229719.3,AP001187.9,lincRNA,0.3198515
COAD,6,ENSG00000226812.2,RP5-881L22.5,antisense,0.24665503
COAD,7,ENSG00000248801.6,C8orf34-AS1,antisense,0.08533537
COAD,8,ENSG00000267125.2,CTB-31O20.6,antisense,0.08200784
COAD,9,ENSG00000248771.5,LINC01207,lincRNA,0.061134942
COAD,10,ENSG00000230234.1,RP1-276N6.2,lincRNA,0.05845086
DLBC,1,ENSG00000234883.3,MIR155HG,lincRNA,1.5177857
DLBC,2,ENSG00000224137.1,AC079767.4,lincRNA,1.2262573
DLBC,3,ENSG00000230155.6,RP3-477O4.14,antisense,0.82609415
DLBC,4,ENSG00000175772.10,LINC01106,lincRNA,0.62880945
DLBC,5,ENSG00000260418.1,RP3-406A7.7,lincRNA,0.3505444
DLBC,6,ENSG00000258655.2,ARHGAP5-AS1,antisense,0.2606855
DLBC,7,ENSG00000273084.1,RP11-1275H24.3,lincRNA,0.25754175
DLBC,8,ENSG00000272269.1,RP11-500C11.3,antisense,0.23733558
DLBC,9,ENSG00000204588.5,LINC01123,lincRNA,0.17608052
DLBC,10,ENSG00000261416.1,RP11-455F5.5,antisense,0.1697939
ESCA,1,ENSG00000251562.7,MALAT1,lincRNA,0.96271586
ESCA,2,ENSG00000268592.3,RAET1E-AS1,antisense,0.8867971
ESCA,3,ENSG00000262456.1,RP1-59D14.1,antisense,0.64042526
ESCA,4,ENSG00000267125.2,CTB-31O20.6,antisense,0.28887764
ESCA,5,ENSG00000269888.1,RP11-3P17.5,lincRNA,0.22166091
ESCA,6,ENSG00000259001.3,RPPH1,antisense,0.2112591
ESCA,7,ENSG00000267458.1,CTC-425F1.4,antisense,0.15640089
ESCA,8,ENSG00000258479.5,LINC00640,lincRNA,0.15617964
ESCA,9,ENSG00000265401.1,RP11-138I1.4,antisense,0.13745797
ESCA,10,ENSG00000249532.3,RP11-148B6.1,antisense,0.09114785
GBM,1,ENSG00000276269.1,RP11-403A3.2,lincRNA,1.0929832
GBM,2,ENSG00000275830.1,RP11-403A3.3,lincRNA,0.8720364
GBM,3,ENSG00000224911.1,AC015936.3,antisense,0.6678673
GBM,4,ENSG00000266036.1,RP11-452I5.2,antisense,0.49258566
GBM,5,ENSG00000224924.6,LINC00320,lincRNA,0.48157516
GBM,6,ENSG00000254919.1,RP11-698N11.2,antisense,0.34106258
GBM,7,ENSG00000245526.8,LINC00461,lincRNA,0.27231014
GBM,8,ENSG00000239922.1,RP11-71N10.1,lincRNA,0.24648927
GBM,9,ENSG00000228058.1,RP11-552D4.1,lincRNA,0.20288923
GBM,10,ENSG00000265401.1,RP11-138I1.4,antisense,0.1948256
HNSC,1,ENSG00000256462.1,RP11-116G8.5,antisense,1.0297127
HNSC,2,ENSG00000260581.1,CTB-113P19.4,antisense,0.29327872
HNSC,3,ENSG00000233101.10,HOXB-AS3,antisense,0.19808692
HNSC,4,ENSG00000231971.5,RP11-557H15.3,lincRNA,0.18682462
HNSC,5,ENSG00000227388.2,RP11-112J3.16,lincRNA,0.17978348
HNSC,6,ENSG00000231346.5,LINC01160,lincRNA,0.12075668
HNSC,7,ENSG00000273373.1,RP5-1074L1.4,antisense,0.112871215
HNSC,8,ENSG00000183242.11,WT1-AS,antisense,0.09036165
HNSC,9,ENSG00000223891.5,OSER1-AS1,lincRNA,0.081446394
HNSC,10,ENSG00000258479.5,LINC00640,lincRNA,0.067788646
KICH,1,ENSG00000261399.1,LA16c-329F2.1,antisense,1.9565372
KICH,2,ENSG00000254528.7,RP11-728F11.4,antisense,1.2421253
KICH,3,ENSG00000249601.2,LINC01187,lincRNA,0.8218685
KICH,4,ENSG00000272142.1,RP11-428J1.5,lincRNA,0.4190172
KICH,5,ENSG00000177133.10,LINC00982,antisense,0.35473952
KICH,6,ENSG00000260196.1,RP1-239B22.5,antisense,0.15042578
KICH,7,ENSG00000253549.5,CA3-AS1,antisense,0.13298494
KICH,8,ENSG00000247317.3,RP11-273G15.2,lincRNA,0.1315745
KICH,9,ENSG00000230082.1,PRRT3-AS1,antisense,0.13019465
KICH,10,ENSG00000180139.11,ACTA2-AS1,antisense,0.10375006
KIRC,1,ENSG00000228262.8,LINC01320,lincRNA,0.97649276
KIRC,2,ENSG00000214145.6,LINC00887,lincRNA,0.81941634
KIRC,3,ENSG00000258586.1,RP5-1021I20.2,lincRNA,0.6740394
KIRC,4,ENSG00000261170.1,RP11-252A24.5,antisense,0.6099555
KIRC,5,ENSG00000227869.1,RP11-807H17.1,lincRNA,0.31831497
KIRC,6,ENSG00000247809.7,NR2F2-AS1,antisense,0.2305781
KIRC,7,ENSG00000259347.5,RP11-798K3.2,lincRNA,0.20538457
KIRC,8,ENSG00000235142.7,RP1-60O19.1,lincRNA,0.20470725
KIRC,9,ENSG00000231210.2,LINC01510,lincRNA,0.17642695
KIRC,10,ENSG00000269707.1,RP11-13J10.1,sense_overlapping,0.13561857
KIRP,1,ENSG00000232110.7,RP11-149I23.3,antisense,0.57743376
KIRP,2,ENSG00000228262.8,LINC01320,lincRNA,0.51097685
KIRP,3,ENSG00000262995.1,CTD-2194A8.2,antisense,0.47704184
KIRP,4,ENSG00000225431.1,AP001626.1,lincRNA,0.46573713
KIRP,5,ENSG00000272899.2,RP11-309L24.4,lincRNA,0.43945992
KIRP,6,ENSG00000223814.1,RP11-543D5.2,lincRNA,0.33689657
KIRP,7,ENSG00000258586.1,RP5-1021I20.2,lincRNA,0.2755156
KIRP,8,ENSG00000227869.1,RP11-807H17.1,lincRNA,0.21974169
KIRP,9,ENSG00000231210.2,LINC01510,lincRNA,0.18796654
KIRP,10,ENSG00000223914.1,AC079630.2,lincRNA,0.17865051
LAML,1,ENSG00000260735.1,RP11-72I8.1,antisense,1.8980591
LAML,2,ENSG00000264577.1,AC010761.8,antisense,1.5206795
LAML,3,ENSG00000275413.1,CTC-529I10.1,antisense,0.65160847
LAML,4,ENSG00000261064.1,RP11-1000B6.3,lincRNA,0.5858296
LAML,5,ENSG00000265148.5,BZRAP1-AS1,antisense,0.5014705
LAML,6,ENSG00000255197.5,RP11-750H9.5,antisense,0.35605887
LAML,7,ENSG00000223960.6,AC009948.5,antisense,0.22818092
LAML,8,ENSG00000265206.3,RP5-1171I10.5,antisense,0.21396108
LAML,9,ENSG00000272053.1,RP11-367G6.3,lincRNA,0.19015533
LAML,10,ENSG00000262766.1,RP11-196G11.4,sense_intronic,0.17969133
LGG,1,ENSG00000260664.2,AC004158.3,lincRNA,1.061082
LGG,2,ENSG00000245526.8,LINC00461,lincRNA,0.6903155
LGG,3,ENSG00000224924.6,LINC00320,lincRNA,0.65770924
LGG,4,ENSG00000259969.1,RP11-999E24.3,sense_overlapping,0.59521216
LGG,5,ENSG00000230084.5,RP4-613B23.1,antisense,0.41935772
LGG,6,ENSG00000248184.1,RP11-231C18.1,lincRNA,0.4192102
LGG,7,ENSG00000274956.2,UG0898H09,lincRNA,0.40764225
LGG,8,ENSG00000242808.7,SOX2-OT,sense_overlapping,0.34368598
LGG,9,ENSG00000277531.1,LLNLF-187D8.1,lincRNA,0.21138066
LGG,10,ENSG00000231064.5,RP11-263K19.4,antisense,0.1862639
LIHC,1,ENSG00000261012.2,RP11-116D2.1,lincRNA,1.1980003
LIHC,2,ENSG00000251164.1,HULC,lincRNA,1.1834131
LIHC,3,ENSG00000241570.8,PAQR9-AS1,antisense,0.61215085
LIHC,4,ENSG00000253196.1,RP11-706C16.7,antisense,0.5997355
LIHC,5,ENSG00000235200.1,RP4-763G1.2,lincRNA,0.1889977
LIHC,6,ENSG00000223956.1,RP4-710M16.2,lincRNA,0.1846131
LIHC,7,ENSG00000276980.1,CTD-3128G10.7,sense_intronic,0.1658159
LIHC,8,ENSG00000261829.1,RP11-223I10.1,sense_overlapping,0.1649857
LIHC,9,ENSG00000223573.6,TINCR,lincRNA,0.15190363
LIHC,10,ENSG00000177640.15,CASC2,antisense,0.14741947
LUAD,1,ENSG00000225383.6,SFTA1P,lincRNA,0.792954
LUAD,2,ENSG00000253563.2,NKX2-1-AS1,antisense,0.7858509
LUAD,3,ENSG00000256151.1,RP11-76C10.5,lincRNA,0.27085048
LUAD,4,ENSG00000226598.1,AC017060.1,lincRNA,0.26839224
LUAD,5,ENSG00000258844.1,RP11-259K15.2,lincRNA,0.19264531
LUAD,6,ENSG00000236345.1,RP11-59D5__B.2,antisense,0.14927483
LUAD,7,ENSG00000229847.8,EMX2OS,antisense,0.111759335
LUAD,8,ENSG00000237125.8,HAND2-AS1,antisense,0.11113418
LUAD,9,ENSG00000256462.1,RP11-116G8.5,antisense,0.08995171
LUAD,10,ENSG00000234690.6,AC073283.4,lincRNA,0.07923635
LUSC,1,ENSG00000256462.1,RP11-116G8.5,antisense,0.30218688
LUSC,2,ENSG00000230943.1,RP11-367G18.1,lincRNA,0.29095095
LUSC,3,ENSG00000250685.7,RP11-486L19.2,antisense,0.20557049
LUSC,4,ENSG00000253563.2,NKX2-1-AS1,antisense,0.20498301
LUSC,5,ENSG00000267313.6,KC6,lincRNA,0.19423309
LUSC,6,ENSG00000233101.10,HOXB-AS3,antisense,0.19117521
LUSC,7,ENSG00000225383.6,SFTA1P,lincRNA,0.18260424
LUSC,8,ENSG00000260581.1,CTB-113P19.4,antisense,0.17058925
LUSC,9,ENSG00000248801.6,C8orf34-AS1,antisense,0.117574066
LUSC,10,ENSG00000237125.8,HAND2-AS1,antisense,0.11116329
MESO,1,ENSG00000233521.5,RP5-1172A22.1,lincRNA,0.96032715
MESO,2,ENSG00000264299.1,RP11-680F20.12,antisense,0.5810235
MESO,3,ENSG00000276850.4,CH17-360D5.2,lincRNA,0.40674502
MESO,4,ENSG00000259353.1,RP11-30K9.5,antisense,0.3894923
MESO,5,ENSG00000258910.2,RP11-19E11.1,lincRNA,0.3075144
MESO,6,ENSG00000251381.6,LINC00958,lincRNA,0.3019343
MESO,7,ENSG00000274565.1,CTD-3035K23.7,antisense,0.26334423
MESO,8,ENSG00000260025.1,RP11-490M8.1,lincRNA,0.25266778
MESO,9,ENSG00000183242.11,WT1-AS,antisense,0.22526762
MESO,10,ENSG00000227036.6,LINC00511,lincRNA,0.22420609
OV,1,ENSG00000265401.1,RP11-138I1.4,antisense,0.93510455
OV,2,ENSG00000231295.1,RP4-797C5.2,antisense,0.8892787
OV,3,ENSG00000267125.2,CTB-31O20.6,antisense,0.8434342
OV,4,ENSG00000183242.11,WT1-AS,antisense,0.65571195
OV,5,ENSG00000258232.2,RP11-161H23.5,antisense,0.52080256
OV,6,ENSG00000259001.3,RPPH1,antisense,0.4379426
OV,7,ENSG00000255750.5,RP11-283G6.5,antisense,0.34754264
OV,8,ENSG00000237149.5,ZNF503-AS2,antisense,0.3391153
OV,9,ENSG00000229847.8,EMX2OS,antisense,0.19211233
OV,10,ENSG00000267601.1,RP11-323N12.5,antisense,0.14646356
PAAD,1,ENSG00000176840.11,MIR7-3HG,lincRNA,0.76343054
PAAD,2,ENSG00000237125.8,HAND2-AS1,antisense,0.65145403
PAAD,3,ENSG00000231013.1,AC013275.2,antisense,0.50429386
PAAD,4,ENSG00000273132.1,RP11-350J20.12,antisense,0.36732742
PAAD,5,ENSG00000259663.2,CTD-2314G24.2,antisense,0.25065738
